Target,Lowest,Best
omegacsd_HEKROE,EI_bayes_321,Yes
omegapdb_1pa9,EI_bayes_345,Yes
omegacsd_CLPTBU,LCB_bayes_123,Yes
omegacsd_BEWLIY10,EI_bayes_123,Yes
omegacsd_LAWJEY,LCB_bayes_456,No
omegacsd_YITLES,LCB_bayes_321,Yes
omegacsd_YESPIV,EI_bayes_345,Yes
omegacsd_JUKZUK,LCB_bayes_345,No
omegacsd_BEWLOE10,LCB_bayes_123,No
omegapdb_1toj,EI_bayes_234,No
omegapdb_1m5d,EI_bayes_123,No
astex_1jd0,LCB_bayes_321,Yes
omegacsd_BAXOZO,EI_bayes_321,Yes
omegacsd_KIHWAZ,LCB_bayes_345,Yes
omegacsd_DAKGEB,EI_bayes_345,Yes
omegapdb_1bto,LCB_bayes_321,No
omegacsd_KEMHOZ,LCB_bayes_123,No
omegacsd_PAPPHI,LCB_bayes_345,Yes
omegacsd_PEXFED,EI_bayes_234,No
omegapdb_1uwc,EI_bayes_234,Yes
omegacsd_SIFJIA,LCB_bayes_123,No
omegacsd_CUSLUX,EI_bayes_456,No
omegacsd_BAFREF,LCB_bayes_456,Yes
omegapdb_2brc,EI_bayes_321,Yes
astex_1n2v,LCB_bayes_321,No
omegacsd_AMPDAM,EI_bayes_123,No
omegacsd_VENRUB,EI_bayes_345,No
omegacsd_CLPHAC,EI_bayes_123,No
omegapdb_1k2t,LCB_bayes_123,Yes
omegapdb_1utt,LCB_bayes_321,Yes
omegacsd_FUHHAR,LCB_bayes_234,Yes
omegacsd_GATPOG,LCB_bayes_345,No
omegacsd_FOWPOW,EI_bayes_345,Yes
omegacsd_TEKBIU,EI_bayes_123,No
omegapdb_2ggd,EI_bayes_345,Yes
astex_1of6,EI_bayes_234,No
omegapdb_1w1q,EI_bayes_345,No
omegacsd_EXOADN,EI_bayes_123,No
omegacsd_BETFAH,EI_bayes_123,Yes
omegacsd_PIDSIE,EI_bayes_234,No
omegacsd_HAVRUR,EI_bayes_234,Yes
omegapdb_1d3g,LCB_bayes_123,Yes
omegacsd_SEMDET,LCB_bayes_234,No
omegapdb_1p1o,LCB_bayes_321,No
omegacsd_HADLAZ,EI_bayes_345,Yes
omegacsd_FURACM,EI_bayes_345,No
omegacsd_BUSNIM,LCB_bayes_456,No
omegacsd_HALJOT,LCB_bayes_234,Yes
omegacsd_LERKAU,EI_bayes_321,No
omegacsd_YINDII,EI_bayes_456,No
omegacsd_SAVXOC,EI_bayes_321,Yes
omegacsd_PNBPIP,EI_bayes_123,Yes
omegapdb_2iuz,EI_bayes_345,No
omegacsd_CIBPOS,LCB_bayes_234,Yes
omegacsd_BELWOE,LCB_bayes_234,No
omegacsd_FUNYAO,LCB_bayes_345,No
omegapdb_1h1p,LCB_bayes_234,No
omegacsd_DUDPAT,EI_bayes_321,Yes
omegacsd_FOPMIG,EI_bayes_234,No
